Country (Country),Species (ASFIS species),Fishing area (FAO major fishing area),Unit (Unit),2010,2011,2012,2013,2014,2015,2016,2017
Saint Vincent/Grenadines,"Cuttlefish, bobtail squids nei","Atlantic, Eastern Central",Tonnes - live weight,...,2,-,-,-,-,-,-
Taiwan Province of China,Argentine shortfin squid,"Atlantic, Southwest",Tonnes - live weight,16,40,7,4,6,12,11,10
United States of America,Copper rockfish,"Pacific, Northeast",Tonnes - live weight,90,170,80,93,95,115,100,105
France,Long-finned pilot whale,Marine areas outside the Antarctic,Number,...,18,12,11,9,19,18,15
Kenya,"Conger eels, etc. nei","Indian Ocean, Western",Tonnes - live weight,32,13,6,7,12,11,13,12
Namibia,Argentine hake,"Atlantic, Southwest",Tonnes - live weight,880,1019,316,430,520,348,330,200
Panama,Swarming squat lobster,"Atlantic, Southwest",Tonnes - live weight,...,...,-,-,-,-,-,...
Russian Federation,"Cuttlefish, bobtail squids nei","Atlantic, Southeast",Tonnes - live weight,...,...,...,...,...,...,...,...
Senegal,Freshwater molluscs nei,Africa - Inland waters,Tonnes - live weight,15,8,20,18,21,23,20,21
Seychelles,Tadpole codling,"Atlantic, Southwest",Tonnes - live weight,...,16,17,15,16,19,22,21
Mexico,Vermilion snapper,"Atlantic, Western Central",Tonnes - live weight,104,85,178,210,193,205,230,209
Russian Federation,Japanese flying squid,"Pacific, Northwest",Tonnes - live weight,140,75,55,61,78,52,64,72
United States of America,Rosy rockfish,"Pacific, Northeast",Tonnes - live weight,-,-,435,398,400,405,411,389
Ireland,European conger,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Israel,Brushtooth lizardfish,"Indian Ocean, Western",Tonnes - live weight,23,31,25,34,43,42,47,44
Peru,Mexican barracuda,"Pacific, Southeast",Tonnes - live weight,53,4,...,...,...,...,...,-
Sao Tome and Principe,Marine molluscs nei,"Atlantic, Eastern Central",Tonnes - live weight,80,55,6,5,7,7,6,5
Iran (Islamic Rep. of),Talang queenfish,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
Iraq,Doublespotted queenfish,"Indian Ocean, Western",Tonnes - live weight,...,...,...,...,...,...,...,...
Portugal,Stargazer,"Atlantic, Northeast",Tonnes - live weight,3,-,-,-,-,-,-,-
Serbia and Montenegro,"Cuttlefish, bobtail squids nei",Mediterranean and Black Sea,Tonnes - live weight,...,...,...,...,...,...,...,...
United States of America,Olive rockfish,"Pacific, Northeast",Tonnes - live weight,6,30,...,...,...,...,...,-
Latvia,Roundnose grenadier,"Atlantic, Northwest",Tonnes - live weight,114 F,110,300,320,370,350,400,450
Poland,Beaked redfish,"Atlantic, Northwest",Tonnes - live weight,-,-,2,1,2,2,1,1
Portugal,Beaked redfish,"Atlantic, Northeast",Tonnes - live weight,6,-,-,-,-,-,-,-
St. Pierre and Miquelon,Marine molluscs nei,"Atlantic, Northwest",Tonnes - live weight,4,2,...,...,...,...,...,-
Peru,"Octopuses, etc. nei","Pacific, Southeast",Tonnes - live weight,29,59,50,51,52,50,52,58
"Korea, Republic of","Conger eels, etc. nei","Pacific, Southeast",Tonnes - live weight,1.2,1.2,1.2,1.5,1.5,1.5,1.7,1.2
Croatia,Striped dolphin,Mediterranean and Black Sea,Number,80,52,13,25,24,39,28,37
Saudi Arabia,"Octopuses, etc. nei","Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
Russian Federation,"Cuttlefish, bobtail squids nei","Atlantic, Eastern Central",Tonnes - live weight,23,30,12,15,14,16,14,15
Russian Federation,Marine molluscs nei,"Pacific, Northeast",Tonnes - live weight,8,...,...,...,...,...,...,-
Italy,European conger,Mediterranean and Black Sea,Tonnes - live weight,165,180,170,160,190,198,231,219
Spain,Longfin hake,"Atlantic, Northwest",Tonnes - live weight,...,1,-,-,-,-,-,-
Latvia,Roundnose grenadier,"Atlantic, Northeast",Tonnes - live weight,4,4,5,5,4,5,5,5
Namibia,"Grenadiers, rattails nei","Indian Ocean, Antarctic",Tonnes - live weight,10,14,34,38,35,39,37,40
Poland,Beaked redfish,"Atlantic, Northeast",Tonnes - live weight,...,...,...,...,...,...,...,...
Portugal,Beaked redfish,"Atlantic, Northwest",Tonnes - live weight,-,-,1,1,1,1,1,1
Romania,"Octopuses, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,113,132,450,448,380,466,475,470
Burundi,[Bathybates minor],Africa - Inland waters,Tonnes - live weight,17,20,9,12,11,14,15,16
Colombia,Payara,"America, South - Inland waters",Tonnes - live weight,...,5,1,1,2,1,1,1
Japan,"Conger eels, etc. nei","Pacific, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
New Zealand,Grenadier cod,"Pacific, Southwest",Tonnes - live weight,...,1,1,1,-,-,-,-
Romania,"Cuttlefish, bobtail squids nei","Atlantic, Eastern Central",Tonnes - live weight,19,39,83,244,118,370,448,1038
Russian Federation,"Octopuses, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,1009,355,353,614,504,716,452,593
Bahrain,Smalltooth emperor,"Indian Ocean, Western",Tonnes - live weight,435,738,330,213,501,490,485 F,485 F
France,European flying squid,Mediterranean and Black Sea,Tonnes - live weight,...,...,...,...,...,...,...,...
"Korea, Republic of","Conger eels, etc. nei","Pacific, Western Central",Tonnes - live weight,300,248,96,126,127,106,105 F,105 F
Portugal,"Octopuses, etc. nei","Atlantic, Northeast",Tonnes - live weight,895,1010,881,725,891,933,925 F,925 F
Russian Federation,Beaked redfish,"Atlantic, Northwest",Tonnes - live weight,6545,7288,6467,4989,3975,4563,4540 F,4540 F
Turkey,Freshwater molluscs nei,Asia - Inland waters,Tonnes - live weight,113,210,305,232,229,316,310 F,310 F
New Zealand,Spotted estuary smooth-hound,"Pacific, Southwest",Tonnes - live weight,38,54,22,111,64,0 0,0 0,0 0
Portugal,Cephalopods nei,"Atlantic, Eastern Central",Tonnes - live weight,6689,7830,7483,6834,6547,6281,6240 F,6240 F
Russian Federation,Beaked redfish,"Atlantic, Northeast",Tonnes - live weight,291,259,268,240,270,435,430 F,430 F
United States of America,Blacktip shark,"Atlantic, Western Central",Tonnes - live weight,15,11,11,8,12,9,9,9 F
Bahrain,Spangled emperor,"Indian Ocean, Western",Tonnes - live weight,547,848,1265,1033,930,638,630 F,630 F
Japan,North Pacific hake,"Pacific, Northeast",Tonnes - live weight,...,...,...,...,...,...,...,...
"Korea, Republic of","Conger eels, etc. nei","Pacific, Southwest",Tonnes - live weight,11,13,3,2,3,1,1,1 F
Pakistan,"Cuttlefish, bobtail squids nei","Indian Ocean, Western",Tonnes - live weight,116,164,175,161,164,190,185 F,185 F
Philippines,Marine molluscs nei,"Pacific, Western Central",Tonnes - live weight,121,198,177,157,271,340,335 F,335 F
Portugal,"Octopuses, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,719,925,1115,893,986,946,940 F,940 F
Spain,European barracuda,Mediterranean and Black Sea,Tonnes - live weight,32,26,23,14,20,15,15,15 F
Tunisia,Freshwater molluscs nei,Africa - Inland waters,Tonnes - live weight,2015,2708,2265,990,2192,3013,3000 F,3000 F
Japan,Roundnose grenadier,"Atlantic, Northwest",Tonnes - live weight,18,18,18,13,17,17,17,17 F
Portugal,"Octopuses, etc. nei","Atlantic, Western Central",Tonnes - live weight,...,...,...,...,...,...,...,...
United States of America,Blacktip shark,"Atlantic, Northwest",Tonnes - live weight,0 0,15,64,60,71,98,98,98 F
"Venezuela, Boliv Rep of",Tiger shark,"Atlantic, Western Central",Tonnes - live weight,288,383,515,670,888,905,900 F,900 F
"Korea, Republic of","Conger eels, etc. nei","Indian Ocean, Eastern",Tonnes - live weight,-,-,-,-,-,-,-,-
Liberia,"Conger eels, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,31219,33975,31873,36169,35762,36514,36340 F,36340 F
Portugal,Marine molluscs nei,"Indian Ocean, Western",Tonnes - live weight,122,32,4,3,4,29,29,29 F
United States of America,Blacknose shark,"Atlantic, Northwest",Tonnes - live weight,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0
United States of America,Atlantic sharpnose shark,"Atlantic, Western Central",Tonnes - live weight,970,1119,1236,577,1025,1984,1592,231
Greenland,Killer whale,Marine areas outside the Antarctic,Number,220,243,110,149,136,154,152 F,152 F
"Korea, Republic of",Whitespotted conger,"Pacific, Northwest",Tonnes - live weight,4,2,17,72,66,62,62,62 F
"Korea, Republic of","Conger eels, etc. nei","Indian Ocean, Western",Tonnes - live weight,5,4,4,7,5,10,10,10 F
Portugal,"Cuttlefish, bobtail squids nei","Atlantic, Southeast",Tonnes - live weight,173,85,53,51,41,27,27,27 F
Puerto Rico,"Octopuses, etc. nei","Atlantic, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
South Africa,Cape gurnard,"Atlantic, Southeast",Tonnes - live weight,11145,11339,11992,12253,8260,6709,6660 F,6660 F
United States of America,Blacknose shark,"Atlantic, Western Central",Tonnes - live weight,2,5,3,4,4,3,3,3 F
United States of America,Atlantic sharpnose shark,"Atlantic, Northwest",Tonnes - live weight,6,25,3,7,4,23,23,23 F
Estonia,Three-spined stickleback,Europe - Inland waters,Tonnes - live weight,131,98,57,157,341,204,268,444
Northern Mariana Is.,"Octopuses, etc. nei","Pacific, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,"Octopuses, etc. nei","Atlantic, Southeast",Tonnes - live weight,108,83,222,79,58,205,200 F,200 F
Guinea-Bissau,"Cuttlefish, bobtail squids nei","Atlantic, Eastern Central",Tonnes - live weight,13871,13489,16648,16929,17709,12829 F,12760 F,12760 F
Sierra Leone,Argentine shortfin squid,"Atlantic, Southwest",Tonnes - live weight,96,22,27,88,18,0 0,0 0,0 0
United States of America,Smooth hammerhead,"Atlantic, Northwest",Tonnes - live weight,119,79,78,59,107,134,132 F,132 F
Iceland,Roughhead grenadier,"Atlantic, Northeast",Tonnes - live weight,...,...,...,...,...,...,...,...
Indonesia,Whitespotted wedgefish,"Indian Ocean, Eastern",Tonnes - live weight,354,695,490,282,348,194,190 F,190 F
United States of America,Bonnethead,"Atlantic, Northwest",Tonnes - live weight,...,...,...,...,...,...,...,...
"Korea, Republic of","Conger eels, etc. nei","Atlantic, Southwest",Tonnes - live weight,99,151,74,31,32,54,54,54 F
Panama,"Cuttlefish, bobtail squids nei","Atlantic, Eastern Central",Tonnes - live weight,672,971,977,854,844,1061,1055 F,1055 F
United States of America,Tiger shark,"Atlantic, Western Central",Tonnes - live weight,34,20,17,6,8,17,17,17 F
Portugal,Common octopus,"Atlantic, Northeast",Tonnes - live weight,199,255,259,179,185,156,155 F,155 F
Portugal,Marine molluscs nei,Mediterranean and Black Sea,Tonnes - live weight,6,6,2,2,5,1,1,1 F
Guinea-Bissau,Marine molluscs nei,"Atlantic, Eastern Central",Tonnes - live weight,7,9,7,3,3,2,2,1
Spain,Black scorpionfish,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,-,-,-
Spain,Broadtail shortfin squid,"Atlantic, Northeast",Tonnes - live weight,...,...,...,91,86,127,186,36
Iceland,Roundnose grenadier,"Atlantic, Northeast",Tonnes - live weight,59,62,81,80,36,22,51,18
Iran (Islamic Rep. of),Giant guitarfish,"Indian Ocean, Western",Tonnes - live weight,98,135,187,215,174,241,295,332
Portugal,"Octopuses, etc. nei","Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
Taiwan Province of China,Freshwater molluscs nei,Asia - Inland waters,Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Finetooth shark,"Atlantic, Northwest",Tonnes - live weight,8,6,4,4,4,1,2,1
Iran (Islamic Rep. of),Milk shark,"Indian Ocean, Western",Tonnes - live weight,...,...,2122,2606,3302,2976,2447,1623
Northern Mariana Is.,Marine molluscs nei,"Pacific, Western Central",Tonnes - live weight,-,-,-,2,2,0 0,0 0,0 0
Panama,Marine molluscs nei,"Pacific, Eastern Central",Tonnes - live weight,7,3,0 0,144,...,...,...,...
Panama,"Octopuses, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,...,...,...,...,...,...,...,...
Portugal,Marine molluscs nei,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,2
United States of America,Bonnethead,"Atlantic, Western Central",Tonnes - live weight,6,17,12,14,-,3,0 0,4
United States of America,Tiger shark,"Atlantic, Northwest",Tonnes - live weight,7,-,5,2,10,5,4,3
"Venezuela, Boliv Rep of",Blacktip shark,"Atlantic, Western Central",Tonnes - live weight,...,...,...,...,...,...,68,70 F
Argentina,Trahira,"America, South - Inland waters",Tonnes - live weight,308,1277,689,111,138,610,804,1101
Greenland,Long-finned pilot whale,Marine areas outside the Antarctic,Number,338,274,432,316,433,283,195,221
Malta,Common eagle ray,Mediterranean and Black Sea,Tonnes - live weight,2,-,0 0,-,-,-,-,0 0
New Zealand,Blue maomao,"Pacific, Southwest",Tonnes - live weight,...,3,2,3,-,-,1,-
Paraguay,[Pimelodus maculatus],"America, South - Inland waters",Tonnes - live weight,...,...,...,...,...,...,...,166
Puerto Rico,Marine molluscs nei,"Atlantic, Western Central",Tonnes - live weight,6,4,1,1,1,2,1,1
United States of America,Finetooth shark,"Atlantic, Western Central",Tonnes - live weight,1,26,7,52,-,4,1,10
Indonesia,Whitespotted wedgefish,"Pacific, Western Central",Tonnes - live weight,3475,3528,1696,2824,6687,1972,19690,636
Ireland,Roundnose grenadier,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Lebanon,European conger,Mediterranean and Black Sea,Tonnes - live weight,4 F,3 F,2 F,1 F,0 0,0 0,0 0,0 0
Namibia,Cape dory,"Atlantic, Southeast",Tonnes - live weight,44,49,...,137,102,98,136,127
Paraguay,[Pimelodus albicans],"America, South - Inland waters",Tonnes - live weight,...,...,...,...,...,...,...,119
Peru,Flatwhiskered catfish,"America, South - Inland waters",Tonnes - live weight,...,...,...,...,...,...,...,930
Timor-Leste,Cephalopods nei,"Indian Ocean, Eastern",Tonnes - live weight,15 F,15 F,15 F,15 F,15 F,15 F,15 F,15 F
France,Pullet carpet shell,"Atlantic, Northeast",Tonnes - live weight,712,496,571,1383,1441,1170,659,333
Belarus,Three-spined stickleback,Europe - Inland waters,Tonnes - live weight,-,-,-,-,-,-,-,...
Ireland,Roughhead grenadier,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
"Korea, Republic of",Brushtooth lizardfish,"Pacific, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Panama,"Cuttlefish, bobtail squids nei","Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Spain,Argentine shortfin squid,"Atlantic, Southwest",Tonnes - live weight,7216,9123,14186,23083,33464,27817,3451,12097
Philippines,"Cuttlefish, bobtail squids nei","Pacific, Western Central",Tonnes - live weight,1699,1608,1561,1611,1321,1324,1537,1331
Spain,Broadtail shortfin squid,Mediterranean and Black Sea,Tonnes - live weight,...,...,...,498,466,287,792,849
Portugal,Marine molluscs nei,"Atlantic, Northeast",Tonnes - live weight,...,...,32,0 0,2,...,20,-
United States of America,Yelloweye rockfish,"Pacific, Northeast",Tonnes - live weight,4,2,1,1,3,2,1,6
"Venezuela, Boliv Rep of",Blacknose shark,"Atlantic, Western Central",Tonnes - live weight,...,...,...,...,...,...,394,405 F
Guinea-Bissau,Common octopus,"Atlantic, Eastern Central",Tonnes - live weight,42,7,249,0 0,...,...,...,...
France,Japanese carpet shell,"Atlantic, Northeast",Tonnes - live weight,...,24,21,15,13,16,47,33
Japan,Blue grenadier,"Pacific, Southwest",Tonnes - live weight,467,623,962,895,859,571,...,-
Spain,Atlantic searobins,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Ecuador,Pacific porgy,"Pacific, Southeast",Tonnes - live weight,-,-,-,41,...,...,3,20
Kuwait,Brushtooth lizardfish,"Indian Ocean, Western",Tonnes - live weight,33,15,24,9,9,12,10,9
Panama,"Octopuses, etc. nei","Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Philippines,"Octopuses, etc. nei","Pacific, Western Central",Tonnes - live weight,5506,5158,4737,4664,4238,3994,4006,3822
Portugal,Marine molluscs nei,"Atlantic, Eastern Central",Tonnes - live weight,...,...,...,...,61,0 0,0 0,-
Eritrea,"Cuttlefish, bobtail squids nei","Indian Ocean, Western",Tonnes - live weight,...,...,2,2 F,2 F,2 F,2 F,2 F
Brazil,Bigtooth corvina,"Atlantic, Southwest",Tonnes - live weight,86,80,87,75,91,82 F,82 F,82 F
Ireland,Striped dolphin,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,-,-
Puerto Rico,Vermilion snapper,"Atlantic, Western Central",Tonnes - live weight,2,4,3,3,6,6,...,...
Cyprus,Bluespotted cornetfish,Mediterranean and Black Sea,Tonnes - live weight,...,3,2,2,1,3,2,1
Vanuatu,"Octopuses, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
New Zealand,Marine molluscs nei,"Pacific, Southwest",Tonnes - live weight,-,1,2,1,1,6,3,6
Italy,Striped dolphin,Marine areas outside the Antarctic,Number,-,3,2,-,-,-,-,-
Japan,Long-finned pilot whale,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,-,-
Vanuatu,Marine molluscs nei,"Pacific, Western Central",Tonnes - live weight,13,14 F,5 F,4,0 0,27,54,50 F
Nicaragua,"Octopuses, etc. nei","Atlantic, Western Central",Tonnes - live weight,2,3,19,27,9,26,0 0,0 0
Egypt,Sky emperor,"Indian Ocean, Western",Tonnes - live weight,232,104,118,274,306,353,282,260 F
New Caledonia,"Cuttlefish, bobtail squids nei","Pacific, Western Central",Tonnes - live weight,0 0,1,0 0,0 0,0 0,0 0,0 0,-
Vanuatu,"Cuttlefish, bobtail squids nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Nicaragua,Marine molluscs nei,"Pacific, Eastern Central",Tonnes - live weight,...,...,...,...,...,3,1,7
Trinidad and Tobago,Tiger shark,"Atlantic, Western Central",Tonnes - live weight,0 0,1,1,1,1,1,1,1
Denmark,Silvery pout,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,1,26,2
Saint Vincent/Grenadines,Argentine hake,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Saint-Martin,Marine fishes nei,"Atlantic, Western Central",Tonnes - live weight,90 F,90 F,90 F,90 F,90 F,90 F,90 F,90 F
Netherlands,Marine molluscs nei,"Atlantic, Northeast",Tonnes - live weight,-,-,-,2,-,-,-,-
Nigeria,"Octopuses, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,...,...,...,...,...,...,...,...
Un. Sov. Soc. Rep.,Saffron cod,"Pacific, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,Spot shrimp,"Pacific, Northeast",Tonnes - live weight,307,340,331,336,359,398,397,381
Zanzibar,Marine fishes nei,"Indian Ocean, Western",Tonnes - live weight,3303,2853,1229,1326,1898,1476,1904,2007
Saint Barthélemy,Marine fishes nei,"Atlantic, Western Central",Tonnes - live weight,100 F,100 F,100 F,100 F,100 F,100 F,100 F,100 F
Palestine,Marine fishes nei,Mediterranean and Black Sea,Tonnes - live weight,121,298,679,550,1117,937,1321,1406
Malta,Stargazer,Mediterranean and Black Sea,Tonnes - live weight,3,1,1,1,2,0 0,1,0 0
Norway,"Octopuses, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Cyprus,Curled picarel,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,1,-,0 0
Iceland,Killer whale,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,-,-
"Korea, Republic of",Japanese carpet shell,"Pacific, Northwest",Tonnes - live weight,12818,12230,12405,13565,12490,15241,13517,17261
Nigeria,"Cuttlefish, bobtail squids nei","Atlantic, Eastern Central",Tonnes - live weight,241,383,495,402,498,536,482,672
Sint Maarten,Marine fishes nei,"Atlantic, Western Central",Tonnes - live weight,...,240 F,240 F,240 F,240 F,240 F,240 F,240 F
Liberia,"Needlefishes, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,100 F,100 F,100 F,50 F,50 F,30 F,20 F,-
Netherlands,"Octopuses, etc. nei","Atlantic, Northeast",Tonnes - live weight,-,-,1,1,-,-,-,1
United Kingdom,Tadpole codling,"Atlantic, Southwest",Tonnes - live weight,41,36,5,17,10,19,3,18
Japan,Baleen whales nei,Marine areas outside the Antarctic,Number,-,-,1,-,-,1,1,-
Norway,Marine molluscs nei,"Atlantic, Northeast",Tonnes - live weight,59,13,34,49,53,11,58,6
Bonaire/S.Eustatius/Saba,Marine fishes nei,"Atlantic, Western Central",Tonnes - live weight,...,90 F,85,95,142,170 F,200 F,232
Brazil,Loweye catfishes nei,"America, South - Inland waters",Tonnes - live weight,...,9027,9098,9175,9058,8660 F,8660 F,8660 F
Burundi,Sleek lates,Africa - Inland waters,Tonnes - live weight,2499,1849,843,2518,2673,5094,6948,7008
Greenland,Roundnose grenadier,"Atlantic, Northwest",Tonnes - live weight,-,7,2,34,15,15,65,10
Netherlands,"Cuttlefish, bobtail squids nei","Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Russian Federation,"Grenadiers, rattails nei","Pacific, Northwest",Tonnes - live weight,20508,23105,25540,15711,17035,23367,23937,25673
Trinidad and Tobago,Blacktip shark,"Atlantic, Western Central",Tonnes - live weight,1,5,4,3,2,2,2,4
United States of America,Freshwater molluscs nei,"America, North - Inland waters",Tonnes - live weight,...,...,...,...,...,...,...,...
Montenegro,Marine fishes nei,Mediterranean and Black Sea,Tonnes - live weight,206,196,226,186,205,233,233,16
Sudan,Marine fishes nei,"Indian Ocean, Western",Tonnes - live weight,...,...,4887 F,3887 F,2887 F,1749,2500 F,3306
Curaçao,Marine fishes nei,"Atlantic, Western Central",Tonnes - live weight,...,480 F,480 F,480 F,480 F,480 F,480 F,480 F
Burundi,[Mastacembelus cunningtoni],Africa - Inland waters,Tonnes - live weight,1,1,3,5,5,15,1,5
France,European conger,Mediterranean and Black Sea,Tonnes - live weight,167,155,126,102,110,92,110,92
